ФормаСписка;ФормаОбъекта;ОбъектМетаданных;Запись;Копирование;ВводНаОсновании;Печать;ПредставлениеОбъектаМетаданных
Нет;Да;Справочники;Нет;Нет;Нет;Нет;Справочники
Нет;Нет;Документы;Нет;Нет;Нет;Нет;Документы
Нет;Нет;ПланыВидовХарактеристик;Нет;Нет;Нет;Нет;Планы видов характеристик
Нет;Нет;ПланыСчетов;Нет;Нет;Нет;Нет;Планы счетов
Нет;Нет;ПланыВидовРасчета;Нет;Нет;Нет;Нет;Планы видов Расчета
Нет;Нет;ЖурналыДокументов;Нет;Нет;Нет;Нет;Журналы документов
Нет;Нет;Отчеты;Нет;Нет;Нет;Нет;Отчеты
Нет;Нет;Обработки;Нет;Нет;Нет;Нет;Обработки
Нет;Нет;РегистрыСведений;Нет;Нет;Нет;Нет;Регистры сведений
Нет;Нет;РегистрыНакопления;Нет;Нет;Нет;Нет;Регистры накопления
Нет;Нет;РегистрыБухгалтерии;Нет;Нет;Нет;Нет;Регистры бухгалтерии
Нет;Нет;РегистрыРасчета;Нет;Нет;Нет;Нет;Регистры расчета
